playerId,displayName,id,name
1049905,Alex Armah,13326,"Armah, Alexander"
234403,Matthew Slater,9200,"Slater, Matt"
866578,Scotty Miller,14280,"Miller, Scott"
406214,Antonio Brown,9988,"Brown, Antonio"
606551,Chris Moore,12773,"Moore, Chris"
835086,Mike Thomas,12675,"Thomas, Mike"
691856,Danny Vitale,12822,"Vitale, Dan"
694015,Mike Davis,12164,"Davis, Mike"
1049915,David Moore,13348,"Moore, David"
976220,Marquise Brown,14105,"Brown, Marquise"
744112,Robert Davis,13238,"Davis, Robert"
866174,Tyler Davis,14996,"Davis, Tyler"
732121,Corey Davis,13153,"Davis, Corey"
910808,Stephen Sullivan,15026,"Sullivan, Stephen"
509372,Chris Thompson,11186,"Thompson, Chris"
836103,Noah Brown,13172,"Brown, Noah"
911710,Austin Mack,14855,"Mack, Austin"
835127,Chris Godwin,13163,"Godwin, Chris"
913387,Darius Anderson,14812,"Anderson, Darius"
691828,Austin Carr,13367,"Carr, Austin"
741785,Mike White,13598,"White, Mike"
823872,Brian Hill,13240,"Hill, Brian"
750698,Taywan Taylor,13167,"Taylor, Taywan"
833514,Cody Thompson,14321,"Thompson, Cody"
820435,Brandon Powell,13910,"Powell, Brandon"
943842,Isaiah Wright,15077,"Wright, Isaiah"
214201,Matt Moore,8944,"Moore, Matt"
943635,Patrick Taylor,14817,"Taylor, Patrick"
609496,Allen Robinson II,11678,"Robinson, Allen"
835417,Chris Lacy,14045,"Lacy, Chris"
1166545,Deonte Harris,14558,"Harris, Deonte"
888716,Bruce Anderson III,14314,"Anderson, Bruce"
911236,Tyler Johnson,14864,"Johnson, Tyler"
823156,Tyreek Hill,12801,"Hill, Tyreek"
593587,Mike Evans,11671,"Evans, Mike"
882734,Chris Carson,13364,"Carson, Chris"
615494,Trevor Davis,12800,"Davis, Trevor"
921454,Marquez Callaway,15034,"Callaway, Marquez"
561380,Daniel Brown,12585,"Brown, Daniel"
608753,Nick Boyle,12328,"Boyle, Nick"
686800,Fred Brown,14352,"Brown, Fred"
604724,Malcolm Brown,12386,"Brown, Malcolm"
943093,Ian Thomas,13678,"Thomas, Ian"
733754,Mike Williams,13154,"Williams, Mike"
473742,John Brown,11783,"Brown, John"
822350,Kyle Allen,13879,"Allen, Kyle"
733849,Trent Taylor,13316,"Taylor, Trent"
946739,David Montgomery,14071,"Montgomery, David"
747866,Devin Ross,15064,"Ross, Devin"
605242,Tyler Lockett,12187,"Lockett, Tyler"
742387,Tyler Boyd,12650,"Boyd, Tyler"
879072,Terry Godwin,14298,"Godwin, Terry"
691348,Marcus Johnson,13387,"Johnson, Marcus"
607660,Stephen Anderson,12859,"Anderson, Stephen"
836936,Isaiah Ford,13162,"Ford, Isaiah"
606485,Devin Smith,12182,"Smith, Devin"
750838,Robert Foster,13653,"Foster, Robert"
750097,Matt Breida,13378,"Breida, Matt"
694662,Cody Core,12824,"Core, Cody"
604390,Brandon Allen,12621,"Allen, Brandon"
1166944,Malik Taylor,14533,"Taylor, Malik"
822031,Trey Quinn,13664,"Quinn, Trey"
695370,Corey Coleman,12646,"Coleman, Corey"
465129,Ryan Griffin,11399,"Griffin, Ryan"
924130,Aaron Fuller,15069,"Fuller, Aaron"
842181,Mike Boone,13868,"Boone, Mike"
608360,Robby Anderson,12930,"Anderson, Robby"
923420,Chris Rowland,15053,"Rowland, Chris"
612512,DeAndre Carter,12394,"Carter, DeAndre"
591801,Chris Conley,12257,"Conley, Chris"
464646,Travis Benjamin,10737,"Benjamin, Travis"
867754,Deon Cain,13636,"Cain, Deon"
823811,Nick Bawden,13838,"Bawden, Nick"
696881,Cody Hollister,13851,"Hollister, Cody"
884014,Damien Harris,14075,"Harris, Damien"
329031,Andre Roberts,9921,"Roberts, Andre"
607435,Marvin Hall,13505,"Hall, Marvin"
739435,Steven Mitchell Jr.,13659,"Mitchell, Steven"
791008,Keelan Cole,13412,"Cole, Keelan"
507528,Logan Thomas,11647,"Thomas, Logan"
552409,David Johnson,12171,"Johnson, David"
913163,Tyler Huntley,14789,"Huntley, Tyler"
883314,Dan Chisena,15057,"Chisena, Dan"
494724,Dion Lewis,10389,"Lewis, Dion"
466883,Ryan Griffin,11441,"Griffin, Ryan"
922127,Quartney Davis,14856,"Davis, Quartney"
976761,Gabriel Davis,14845,"Davis, Gabriel"
560241,DeAndre Hopkins,11232,"Hopkins, DeAndre"
822857,Nick Chubb,13610,"Chubb, Nick"
865896,Rodney Anderson,14088,"Anderson, Rodney"
507478,Marquise Goodwin,11239,"Goodwin, Marquise"
1049249,Hunter Bryant,14874,"Bryant, Hunter"
877596,Steven Sims Jr.,14613,"Sims, Steven"
838301,Ventell Bryant,14481,"Bryant, Ventell"
1108841,Darwin Thompson,14284,"Thompson, Darwin"
689689,Pharaoh Brown,13994,"Brown, Pharaoh"
335172,Demaryius Thomas,9884,"Thomas, Demaryius"
694629,Colin Thompson,15123,"Thompson, Colin"
465752,Brandon Bolden,10932,"Bolden, Brandon"
924598,Aaron Parker,15039,"Parker, Aaron"
838156,Ryan Nall,13849,"Nall, Ryan"
