mfl_id,mfl_name,first_last,standard_name,pos,team,draft_year,college,stats_id,sportsdata_id,espn_id,cbs_id,nfl_id
14231,"Wesco, Trevon",Trevon Wesco,trevon wesco,TE,NYJ,2019,West Virginia,31953,f6c34178-e063-444b-96b3-df6b3cf66419,,2243366,
14239,"Moreau, Foster",Foster Moreau,foster moreau,TE,LVR,2019,LSU,31969,9c3a67fd-5c6e-4689-9e08-9ff6d4db6c9a,,2180634,
14240,"Gentry, Zach",Zach Gentry,zach gentry,TE,PIT,2019,Michigan,31973,58f18567-a050-49c4-aeca-b34499338b37,,2185708,
14265,"Fulgham, Travis",Travis Fulgham,travis fulgham,WR,PHI,2019,Old Dominion,32016,030f3ecf-f32f-497d-96a8-8f28d44fc311,,2143075,
14267,"Winfree, Juwann",Juwann Winfree,juwann winfree,WR,GB,2019,Colorado,32019,fa7bdbe5-23b9-4cba-9015-98c5e2d09c9e,,3116589,
14277,"Green, Marcus",Marcus Green,marcus green,WR,FA,2019,Louisiana-Monroe,32035,3ca39a84-5ba9-445d-bf6e-895be06edb34,,2181212,
14280,"Miller, Scott",Scott Miller,scott miller,WR,TB,2019,Bowling Green,32040,85e18d5f-8a3f-4b6c-88fe-dfdaaed5554e,,2180075,
14284,"Thompson, Darwin",Darwin Thompson,darwin thompson,RB,KC,2019,Utah State,32046,a1a73c32-c409-4ee0-8a7b-0ae589db85c8,,2962970,
14287,"Gillaspia, Cullen",Cullen Gillaspia,cullen gillaspia,RB,HOU,2019,Texas A&M,32052,1731325a-0303-4a56-81f5-3c4a588cf0d6,,3116625,
14289,"Whyte, Kerrith",Kerrith Whyte,kerrith whyte,RB,FA,2019,Florida Atlantic,32054,0a040f48-4fa1-479d-ae9d-3ab1457539ee,,2183545,
14294,"Sweeney, Tommy",Tommy Sweeney,tommy sweeney,TE,BUF,2019,Boston College,32060,ec63ee49-3a03-44ca-a083-3916f0bccd76,,2139106,
14295,"Cox, Chandler",Chandler Cox,chandler cox,RB,FA,2019,Auburn,32065,ee3d7a82-d3e0-4d12-b2f8-116aefdb7cb6,,3116654,
14297,"Ursua, John",John Ursua,john ursua,WR,SEA,2019,Hawaii,32068,c00e0b6f-367f-4cf5-ba11-d23b1aa114f1,,3116657,
14298,"Godwin, Terry",Terry Godwin,terry godwin,WR,JAC,2019,Georgia,32069,fc36fcb2-0125-42c4-a8b4-0a2ca9c15ef3,,2180462,
14305,"Johnson, Olabisi",Olabisi Johnson,olabisi johnson,WR,MIN,2019,Colorado State,32079,814e9529-e00f-4d02-925b-158ba1c6f840,,2180922,
14313,"Butler, Emmanuel",Emmanuel Butler,emmanuel butler,WR,FA,2019,Northern Arizona,32211,4aea9720-d991-44be-ac3b-cd778af531a1,,2142440,
14314,"Anderson, Bruce",Bruce Anderson,bruce anderson,RB,FA,2019,North Dakota State,32475,60acd19b-4197-4b04-ab5b-c287ca5a0b56,,2190739,
14315,"Dulin, Ashton",Ashton Dulin,ashton dulin,WR,IND,2019,Malone University,32292,f374262b-d642-4d05-9584-5955548ee4d1,,3116796,
14316,"Hart, Penny",Penny Hart,penny hart,WR,SEA,2019,Georgia State,32293,a296f2fe-7af8-4796-b50a-28ef010d0933,,2183625,
14317,"Doss, Keelan",Keelan Doss,keelan doss,WR,LVR,2019,UC Davis,32342,fcae1e29-5ca2-463e-92a6-0be893f5eb4a,,2137866,
14318,"Ferguson, Jazz",Jazz Ferguson,jazz ferguson,WR,FA,2019,Northwestern State,32338,1c4e12ff-afad-4628-a4f2-d47dc3f4a9dc,,2180620,
14319,"Beck, Andrew",Andrew Beck,andrew beck,TE,DEN,2019,Texas,32225,b556a98d-16aa-4a0d-9134-1b59c46cc640,,2131774,
14320,"Badet, Jeff",Jeff Badet,jeff badet,WR,WAS,2018,Oklahoma,31227,e98ce252-583a-4c74-a718-d38f1ba5793d,,,
14321,"Thompson, Cody",Cody Thompson,cody thompson,WR,SEA,2019,Toledo,32367,16da963d-a300-4d72-8e4d-7771196c03e9,,2136709,
14324,"Raymond, Dax",Dax Raymond,dax raymond,TE,PIT,2019,Utah State,32261,9d95c076-0ceb-4ecc-9187-4f77354c2d1f,,2189163,
