playerid,player,id,name
11669,Adrian Peterson,8658,"Peterson, Adrian"
982541,Qadree Ollison,14097,"Ollison, Qadree"
1844215,Artavis Pierce,14826,"Pierce, Artavis"
982597,Devine Ozigbo,14096,"Ozigbo, Devine"
982879,D.K. Metcalf,14102,"Metcalf, DK"
982024,Stephen Carlson,14488,"Carlson, Stephen"
1844398,J.J. Taylor,14827,"Taylor, J.J."
11671,LeSean McCoy,9448,"McCoy, LeSean"
982173,Alexander Mattison,14223,"Mattison, Alexander"
21773,Melvin Gordon,12151,"Gordon, Melvin"
36828,C.J. Board,13878,"Board, C.J."
973054,Noah Fant,14137,"Fant, Noah"
36933,Darrell Daniels,13396,"Daniels, Darrell"
328826,DaeSean Hamilton,13649,"Hamilton, DaeSean"
36991,Curtis Samuel,13157,"Samuel, Curtis"
35547,Sterling Shepard,12658,"Shepard, Sterling"
36889,Zay Jones,13176,"Jones, Zay"
13576,Alfred Morris,10870,"Morris, Alfred"
36885,Dalvin Cook,13128,"Cook, Dalvin"
21785,Todd Gurley,12150,"Gurley, Todd"
36918,Evan Baylis,13476,"Baylis, Evan"
36857,Adam Shaheen,13254,"Shaheen, Adam"
1844396,Dalton Keene,14939,"Keene, Dalton"
1844770,Adam Trautman,14870,"Trautman, Adam"
36968,Evan Engram,13189,"Engram, Evan"
982175,Olabisi Johnson,14305,"Johnson, Olabisi"
328243,Kerryon Johnson,13612,"Johnson, Kerryon"
328823,Troy Fumagalli,13673,"Fumagalli, Troy"
37022,Patrick Mahomes,13116,"Mahomes, Patrick"
16587,Jordan Reed,11248,"Reed, Jordan"
328769,Tre'Quan Smith,13645,"Smith, Tre'Quan"
328463,Vyncint Smith,13884,"Smith, Vyncint"
982346,Ashton Dulin,14315,"Dulin, Ashton"
1844578,CeeDee Lamb,14832,"Lamb, CeeDee"
13586,Mohamed Sanu,10723,"Sanu, Mohamed"
982232,Preston Williams,14126,"Williams, Preston"
11670,Frank Gore,7877,"Gore, Frank"
328830,Phillip Lindsay,13614,"Lindsay, Phillip"
982234,Chandler Cox,14295,"Cox, Chandler"
981990,Trayveon Williams,14076,"Williams, Trayveon"
37036,Sean Culkin,13438,"Culkin, Sean"
18088,Eric Ebron,11695,"Ebron, Eric"
11792,Marcedes Lewis,8269,"Lewis, Marcedes"
329008,Ross Dwelley,13988,"Dwelley, Ross"
973153,Kyler Murray,14056,"Murray, Kyler"
1849728,Joe Reed,14862,"Reed, Joe"
1844485,Jonathan Taylor,14802,"Taylor, Jonathan"
37044,Ricky Seals-Jones,13382,"Seals-Jones, Ricky"
13563,Kirk Cousins,10700,"Cousins, Kirk"
972884,Daniel Jones,14059,"Jones, Daniel"
21604,Ameer Abdullah,12155,"Abdullah, Ameer"
982728,Foster Moreau,14239,"Moreau, Foster"
11633,Andy Dalton,10313,"Dalton, Andy"
11630,Cam Newton,10273,"Newton, Cam"
1002021,Daniel Helm,14367,"Helm, Daniel"
13126,Luke Stocker,10354,"Stocker, Luke"
328096,Mark Andrews,13671,"Andrews, Mark"
1844488,Dezmon Patmon,14998,"Patmon, Dezmon"
12905,Randall Cobb,10308,"Cobb, Randall"
18343,Dontrelle Inman,11957,"Inman, Dontrelle"
